product_id,category,category_code,usage_count
A0001,财富类产品,A,63
A0002,财富类产品,A,45
A0003,财富类产品,A,5
A0004,财富类产品,A,16
A0005,财富类产品,A,29
A0006,财富类产品,A,73
A0007,财富类产品,A,36
A0008,财富类产品,A,110
A0009,财富类产品,A,115
A0010,财富类产品,A,23
A0011,财富类产品,A,46
A0012,财富类产品,A,12
A0013,财富类产品,A,115
A0014,财富类产品,A,2
A0015,财富类产品,A,2
A0016,财富类产品,A,4
A0017,财富类产品,A,5
A0018,财富类产品,A,5
A0019,财富类产品,A,16
A0020,财富类产品,A,5
A0021,财富类产品,A,1
A0022,财富类产品,A,5
A0023,财富类产品,A,4
A0024,财富类产品,A,10
A0025,财富类产品,A,1
A0026,财富类产品,A,4
A0027,财富类产品,A,12
A0028,财富类产品,A,4
A0029,财富类产品,A,5
A0030,财富类产品,A,4
A0031,财富类产品,A,3
A0032,财富类产品,A,6
A0033,财富类产品,A,15
A0034,财富类产品,A,16
A0035,财富类产品,A,10
A0036,财富类产品,A,10
A0037,财富类产品,A,3
A0038,财富类产品,A,3
A0039,财富类产品,A,5
A0040,财富类产品,A,2
A0041,财富类产品,A,5
A0042,财富类产品,A,10
A0043,财富类产品,A,8
A0044,财富类产品,A,4
A0045,财富类产品,A,7
A0046,财富类产品,A,5
A0047,财富类产品,A,6
A0048,财富类产品,A,2
A0049,财富类产品,A,15
A0050,财富类产品,A,55
A0051,财富类产品,A,36
A0052,财富类产品,A,6
A0053,财富类产品,A,5
A0054,财富类产品,A,11
A0055,财富类产品,A,9
A0056,财富类产品,A,9
A0057,财富类产品,A,16
A0058,财富类产品,A,8
A0059,财富类产品,A,6
A0060,财富类产品,A,11
A0061,财富类产品,A,55
A0062,财富类产品,A,18
A0063,财富类产品,A,2
A0064,财富类产品,A,27
A0065,财富类产品,A,12
A0066,财富类产品,A,16
A0067,财富类产品,A,19
A0068,财富类产品,A,12
A0069,财富类产品,A,16
A0070,财富类产品,A,20
A0071,财富类产品,A,5
A0072,财富类产品,A,10
A0073,财富类产品,A,32
A0074,财富类产品,A,9
A0075,财富类产品,A,42
A0076,财富类产品,A,16
A0077,财富类产品,A,14
A0078,财富类产品,A,20
A0079,财富类产品,A,8
A0080,财富类产品,A,2
A0081,财富类产品,A,12
A0082,财富类产品,A,6
A0083,财富类产品,A,7
A0084,财富类产品,A,4
A0085,财富类产品,A,1
A0086,财富类产品,A,4
A0087,财富类产品,A,10
A0088,财富类产品,A,5
A0089,财富类产品,A,10
A0090,财富类产品,A,2
A0091,财富类产品,A,3
A0092,财富类产品,A,3
